,level,KL,source,target
0,0,0.71009933326834,p1,p1
1,1,0.20140544349898498,p1,p1
2,2,0.10121792986443248,p1,p1
0,0,0.5192607922355336,p1,p2
1,1,0.17529588777830613,p1,p2
2,2,0.107151861645333,p1,p2
0,0,0.674231158039636,p1,p3
1,1,0.21438214541438763,p1,p3
2,2,0.13388867217788675,p1,p3
0,0,0.5357785888844067,p1,p4
1,1,0.20303703072843043,p1,p4
2,2,0.14086981047817973,p1,p4
0,0,0.6657431530621317,p1,p5
1,1,0.20730133892554373,p1,p5
2,2,0.14176070939290286,p1,p5
0,0,0.5216799844966995,p1,p6
1,1,0.19418916868977254,p1,p6
2,2,0.14335654561427263,p1,p6
0,0,0.6668943173686664,p1,p7
1,1,0.20655979332151925,p1,p7
2,2,0.1450373968810568,p1,p7
0,0,0.5118887669179174,p1,p8
1,1,0.19185200698311544,p1,p8
2,2,0.14489189774393,p1,p8
0,0,0.596657929023107,p2,p1
1,1,0.18036147114199896,p2,p1
2,2,0.1067486175039731,p2,p1
0,0,0.38113508653897127,p2,p2
1,1,0.15112643274478615,p2,p2
2,2,0.11258067820259991,p2,p2
0,0,0.5556950939695042,p2,p3
1,1,0.19306669365821616,p2,p3
2,2,0.13973106830439064,p2,p3
0,0,0.40280123886134894,p2,p4
1,1,0.1791387304254911,p2,p4
2,2,0.14590943247648994,p2,p4
0,0,0.5419282234377332,p2,p5
1,1,0.18476335321087392,p2,p5
2,2,0.14728983109855714,p2,p5
0,0,0.39386049065324996,p2,p6
1,1,0.17108434910368586,p2,p6
2,2,0.14858762347967258,p2,p6
0,0,0.541247203581863,p2,p7
1,1,0.183764347690675,p2,p7
2,2,0.1502342372629533,p2,p7
0,0,0.38617703100045536,p2,p8
1,1,0.16938215190906902,p2,p8
2,2,0.15076280452453328,p2,p8
0,0,0.6811689941916199,p3,p1
1,1,0.2132272405759431,p3,p1
2,2,0.1252242855575686,p3,p1
0,0,0.48385523749722376,p3,p2
1,1,0.18650291772455804,p3,p2
2,2,0.1314821515468389,p3,p2
0,0,0.6469676963103714,p3,p3
1,1,0.2267749221855274,p3,p3
2,2,0.15804923250163425,p3,p3
0,0,0.5047146567702293,p3,p4
1,1,0.21435461479549608,p3,p4
2,2,0.16442115427822704,p3,p4
0,0,0.6345860852797824,p3,p5
1,1,0.21899422211520786,p3,p5
2,2,0.1660268396716694,p3,p5
0,0,0.489124580654833,p3,p6
1,1,0.20563573204394842,p3,p6
2,2,0.16724328298807253,p3,p6
0,0,0.6350315804282823,p3,p7
1,1,0.21787181517937118,p3,p7
2,2,0.16876368676687384,p3,p7
0,0,0.47923016773329835,p3,p8
1,1,0.20357977115911327,p3,p8
2,2,0.16928407627856357,p3,p8
0,0,0.5991854549116559,p4,p1
1,1,0.200907445788487,p4,p1
2,2,0.1315314327538686,p4,p1
0,0,0.387834282649888,p4,p2
1,1,0.17179558839545483,p4,p2
2,2,0.13694162111017957,p4,p2
0,0,0.5621756725509962,p4,p3
1,1,0.21360240477447706,p4,p3
2,2,0.16374633630026242,p4,p3
0,0,0.4086156438114823,p4,p4
1,1,0.199064504627579,p4,p4
2,2,0.16888614802268306,p4,p4
0,0,0.5513176302115123,p4,p5
1,1,0.20590237820365778,p4,p5
2,2,0.17169375941558324,p4,p5
0,0,0.4001302027371194,p4,p6
1,1,0.1923155295176224,p4,p6
2,2,0.1732708553207987,p4,p6
0,0,0.5465981135103436,p4,p7
1,1,0.20498988032806664,p4,p7
2,2,0.1751297138340305,p4,p7
0,0,0.39286272019147883,p4,p8
1,1,0.19007722252721174,p4,p8
2,2,0.17487780965929328,p4,p8
0,0,0.672199509408739,p5,p1
1,1,0.20585790777992874,p5,p1
2,2,0.13119715860488615,p5,p1
0,0,0.47058374282386567,p5,p2
1,1,0.17786265002770557,p5,p2
2,2,0.13716526174025295,p5,p2
0,0,0.6353082442614768,p5,p3
1,1,0.21872857402285764,p5,p3
2,2,0.1641542031447171,p5,p3
0,0,0.49421427173746957,p5,p4
1,1,0.20627428962952563,p5,p4
2,2,0.1704854145560724,p5,p4
0,0,0.6245219772861849,p5,p5
1,1,0.21107955460526767,p5,p5
2,2,0.17220037609754354,p5,p5
0,0,0.4795084544685152,p5,p6
1,1,0.19803838196986664,p5,p6
2,2,0.17345491691169124,p5,p6
0,0,0.6221980166766378,p5,p7
1,1,0.2095588371814746,p5,p7
2,2,0.1744448218519877,p5,p7
0,0,0.47038859509759484,p5,p8
1,1,0.19522488677512026,p5,p8
2,2,0.17456628319225276,p5,p8
0,0,0.585231541130278,p6,p1
1,1,0.19379363012293147,p6,p1
2,2,0.13251752012105297,p6,p1
0,0,0.3792569079001744,p6,p2
1,1,0.16539878766569827,p6,p2
2,2,0.1382091505809998,p6,p2
0,0,0.5463654268119069,p6,p3
1,1,0.20648048803468957,p6,p3
2,2,0.16511263642007387,p6,p3
0,0,0.3995864779088232,p6,p4
1,1,0.19395004033007557,p6,p4
2,2,0.171785847282865,p6,p4
0,0,0.5361248025629255,p6,p5
1,1,0.19915719848126173,p6,p5
2,2,0.17314225977571265,p6,p5
0,0,0.3878136729360909,p6,p6
1,1,0.18549133830964162,p6,p6
2,2,0.1743772522745383,p6,p6
0,0,0.5347844103309842,p6,p7
1,1,0.19770334411205515,p6,p7
2,2,0.17581772913302604,p6,p7
0,0,0.3810981462399166,p6,p8
1,1,0.1828749120240617,p6,p8
2,2,0.17570742883939403,p6,p8
0,0,0.6725810882118013,p7,p1
1,1,0.20470089860363963,p7,p1
2,2,0.13356962808815298,p7,p1
0,0,0.4678343918588426,p7,p2
1,1,0.17656828774760172,p7,p2
2,2,0.13926654775588154,p7,p2
0,0,0.6342875168720883,p7,p3
1,1,0.21723543962825917,p7,p3
2,2,0.16609567820631324,p7,p3
0,0,0.48723676466279564,p7,p4
1,1,0.20500614463765587,p7,p4
2,2,0.1730432417741718,p7,p4
0,0,0.6211112377709812,p7,p5
1,1,0.2092044181744051,p7,p5
2,2,0.17354806605176742,p7,p5
0,0,0.4760369441741043,p7,p6
1,1,0.19610923686582185,p7,p6
2,2,0.17513607832745445,p7,p6
0,0,0.6215016718513222,p7,p7
1,1,0.20881957489826908,p7,p7
2,2,0.1775398870610247,p7,p7
0,0,0.4688878697156906,p7,p8
1,1,0.1945451482975235,p7,p8
2,2,0.17740314296731308,p7,p8
0,0,0.5790154218342569,p8,p1
1,1,0.19207046677513664,p8,p1
2,2,0.13310640787718717,p8,p1
0,0,0.3739359728164142,p8,p2
1,1,0.16416652250569314,p8,p2
2,2,0.13931244233661955,p8,p2
0,0,0.5404165158338017,p8,p3
1,1,0.20506213130688086,p8,p3
2,2,0.1662100042234588,p8,p3
0,0,0.395471964875857,p8,p4
1,1,0.19223356483090256,p8,p4
2,2,0.17240710378417531,p8,p4
0,0,0.5307133297456637,p8,p5
1,1,0.19697145627759807,p8,p5
2,2,0.17335059239192763,p8,p5
0,0,0.38420254879527616,p8,p6
1,1,0.1834269133779324,p8,p6
2,2,0.17470052993416582,p8,p6
0,0,0.5305380720562404,p8,p7
1,1,0.1966123275676121,p8,p7
2,2,0.17707860886559104,p8,p7
0,0,0.37490466317181936,p8,p8
1,1,0.18082358032234655,p8,p8
2,2,0.1758238775983593,p8,p8
