z,y,x,s,t
13.5,479.0,81.0,68.3593446428504,0
14.0,302.5,110.0,163.8932579455299,0
16.0,227.0,136.0,163.8932579455299,0
13.5,321.0,149.0,163.8932579455299,0
8.5,292.0,178.0,163.8932579455299,0
17.5,165.0,201.5,222.67015965324137,0
14.5,443.5,202.5,225.69669913403695,0
27.0,369.0,221.5,58.9406481131655,0
14.0,435.0,233.5,225.69669913403695,0
16.5,155.5,237.5,222.67015965324137,0
11.5,266.5,239.0,62.20128616033595,0
14.5,423.5,262.0,225.69669913403695,0
14.5,470.0,276.5,61.35959582656978,0
16.0,143.5,277.5,222.67015965324137,0
12.0,192.5,283.5,222.67015965324137,0
14.0,414.0,300.0,225.69669913403695,0
9.0,246.0,306.5,42.24926034855522,0
16.5,370.5,308.0,42.24926034855522,0
16.0,178.5,314.5,222.67015965324137,0
16.0,403.5,335.5,225.69669913403695,0
10.5,174.5,359.0,222.67015965324137,0
27.0,391.5,363.0,225.69669913403695,0
6.5,228.0,396.5,43.87482193696061,0
14.5,384.5,405.5,80.49844718999243,0
2.5,272.0,409.0,39.44616584663204,0
7.0,169.0,409.5,51.66236541235796,0
13.5,196.0,431.5,38.13135192987524,0
9.5,374.0,436.0,80.49844718999243,0
10.5,151.0,454.0,111.4136436887332,0
3.0,262.0,459.0,73.54590403278758,0
18.0,328.0,479.5,92.62289133902051,0
13.0,365.5,485.0,92.62289133902051,0
17.0,141.5,488.5,111.4136436887332,0
22.5,166.0,500.5,111.4136436887332,0
21.0,336.0,545.0,75.47847375245475,0
13.5,360.5,550.0,75.47847375245475,0
15.0,153.0,554.5,35.94440151122286,0
27.5,176.5,1143.5,70.49113419430843,0
27.5,177.0,1167.0,70.49113419430843,0
12.5,479.0,99.0,71.07038764492565,1
16.0,237.5,125.0,93.38629449764028,1
15.5,299.0,135.5,51.42956348249516,1
15.5,227.5,153.0,93.38629449764028,1
9.0,292.5,197.0,54.18486873657626,1
15.0,442.5,222.5,229.80208876335305,1
18.0,166.5,224.0,225.29536169215734,1
26.0,371.0,241.5,63.93746945258312,1
14.5,435.5,252.0,229.80208876335305,1
15.5,267.5,255.0,76.4591394144611,1
16.5,157.0,260.0,225.29536169215734,1
14.5,422.0,279.0,229.80208876335305,1
15.0,470.5,296.0,66.67083320313314,1
16.0,142.5,298.0,225.29536169215734,1
