epsilon,index,key,s,t,x,y,z
,,0,68.3593446428504,0,81.0,479.0,13.5
,,1,163.8932579455299,0,110.0,302.5,14.0
,,2,163.8932579455299,0,136.0,227.0,16.0
,,3,163.8932579455299,0,149.0,321.0,13.5
,,4,163.8932579455299,0,178.0,292.0,8.5
,,5,222.67015965324137,0,201.5,165.0,17.5
,,6,225.69669913403695,0,202.5,443.5,14.5
,,7,58.9406481131655,0,221.5,369.0,27.0
,,8,225.69669913403695,0,233.5,435.0,14.0
,,9,222.67015965324137,0,237.5,155.5,16.5
,,10,62.20128616033595,0,239.0,266.5,11.5
,,11,225.69669913403695,0,262.0,423.5,14.5
,,12,61.35959582656978,0,276.5,470.0,14.5
,,13,222.67015965324137,0,277.5,143.5,16.0
,,14,222.67015965324137,0,283.5,192.5,12.0
,,15,225.69669913403695,0,300.0,414.0,14.0
,,16,42.24926034855522,0,306.5,246.0,9.0
,,17,42.24926034855522,0,308.0,370.5,16.5
,,18,222.67015965324137,0,314.5,178.5,16.0
,,19,225.69669913403695,0,335.5,403.5,16.0
,,20,222.67015965324137,0,359.0,174.5,10.5
,,21,225.69669913403695,0,363.0,391.5,27.0
,,22,43.87482193696061,0,396.5,228.0,6.5
,,23,80.49844718999243,0,405.5,384.5,14.5
,,24,39.44616584663204,0,409.0,272.0,2.5
,,25,51.66236541235796,0,409.5,169.0,7.0
,,26,38.13135192987524,0,431.5,196.0,13.5
,,27,80.49844718999243,0,436.0,374.0,9.5
,,28,111.4136436887332,0,454.0,151.0,10.5
,,29,73.54590403278758,0,459.0,262.0,3.0
,,30,92.62289133902051,0,479.5,328.0,18.0
,,31,92.62289133902051,0,485.0,365.5,13.0
,,32,111.4136436887332,0,488.5,141.5,17.0
,,33,111.4136436887332,0,500.5,166.0,22.5
,,34,75.47847375245475,0,545.0,336.0,21.0
,,35,75.47847375245475,0,550.0,360.5,13.5
,,36,35.94440151122286,0,554.5,153.0,15.0
,,37,70.49113419430843,0,1143.5,176.5,27.5
,,38,70.49113419430843,0,1167.0,177.0,27.5
0.0,0.0,0,,0,81.0,479.0,13.5
0.0,1.0,1,,0,110.0,302.5,14.0
0.0,2.0,2,,0,136.0,227.0,16.0
0.0,3.0,3,,0,149.0,321.0,13.5
0.0,4.0,4,,0,178.0,292.0,8.5
0.0,5.0,5,,0,201.5,165.0,17.5
0.0,6.0,6,,0,202.5,443.5,14.5
0.0,7.0,7,,0,221.5,369.0,27.0
0.0,8.0,8,,0,233.5,435.0,14.0
0.0,9.0,9,,0,237.5,155.5,16.5
0.0,10.0,10,,0,239.0,266.5,11.5
0.0,11.0,11,,0,262.0,423.5,14.5
0.0,12.0,12,,0,276.5,470.0,14.5
0.0,13.0,13,,0,277.5,143.5,16.0
0.0,14.0,14,,0,283.5,192.5,12.0
0.0,15.0,15,,0,300.0,414.0,14.0
0.0,16.0,16,,0,306.5,246.0,9.0
0.0,17.0,17,,0,308.0,370.5,16.5
0.0,18.0,18,,0,314.5,178.5,16.0
0.0,19.0,19,,0,335.5,403.5,16.0
0.0,20.0,20,,0,359.0,174.5,10.5
0.0,21.0,21,,0,363.0,391.5,27.0
0.0,22.0,22,,0,396.5,228.0,6.5
0.0,23.0,23,,0,405.5,384.5,14.5
0.0,24.0,24,,0,409.0,272.0,2.5
0.0,25.0,25,,0,409.5,169.0,7.0
0.0,26.0,26,,0,431.5,196.0,13.5
0.0,27.0,27,,0,436.0,374.0,9.5
0.0,28.0,28,,0,454.0,151.0,10.5
0.0,29.0,29,,0,459.0,262.0,3.0
0.0,30.0,30,,0,479.5,328.0,18.0
0.0,31.0,31,,0,485.0,365.5,13.0
0.0,32.0,32,,0,488.5,141.5,17.0
0.0,33.0,33,,0,500.5,166.0,22.5
0.0,34.0,34,,0,545.0,336.0,21.0
0.0,35.0,35,,0,550.0,360.5,13.5
0.0,36.0,36,,0,554.5,153.0,15.0
0.0,37.0,37,,0,1143.5,176.5,27.5
0.0,38.0,38,,0,1167.0,177.0,27.5
2.6718699236469052,0.0,0,,1,99.0,479.0,12.5
,1.0,39,,1,125.0,237.5,16.0
6.0667582410671175,2.0,1,,1,135.5,299.0,15.5
3.6817870057290785,3.0,2,,1,153.0,227.5,15.5
1.6996731711975819,4.0,4,,1,197.0,292.5,9.0
1.3437096247164366,5.0,6,,1,222.5,442.5,15.0
2.2669117514559205,6.0,5,,1,224.0,166.5,18.0
1.9507833184532497,7.0,7,,1,241.5,371.0,26.0
2.192157739660972,8.0,8,,1,252.0,435.5,14.5
4.740487551109313,9.0,10,,1,255.0,267.5,15.5
2.2669117514558974,10.0,9,,1,260.0,157.0,16.5
4.027681991198215,11.0,11,,1,279.0,422.0,14.5
1.2133516482134328,12.0,12,,1,296.0,470.5,15.0
1.1785113019775726,13.0,13,,1,298.0,142.5,16.0
1.3743685418725373,14.0,14,,1,305.5,193.0,11.5
0.8975274678557261,15.0,15,,1,321.0,415.0,14.0
3.1841621957571533,16.0,16,,1,325.0,248.5,8.5
0.23570226039554265,17.0,17,,1,328.5,370.5,17.0
,18.0,40,,1,364.5,171.5,14.5
1.9507833184532595,19.0,21,,1,383.0,393.5,27.5
9.33928381741458,20.0,20,,1,389.0,175.0,8.5
0.6871842709362722,21.0,22,,1,417.0,227.5,6.5
9.758187445536315,22.0,24,,1,420.0,273.5,3.0
1.3743685418725307,23.0,23,,1,427.5,385.0,14.0
1.9507833184532497,24.0,25,,1,432.0,168.5,6.5
,25.0,41,,1,451.5,225.5,2.0
2.013840995599096,26.0,26,,1,453.0,198.0,14.5
1.9507833184532595,27.0,27,,1,458.5,373.5,9.5
2.838231060987714,28.0,28,,1,477.5,151.0,10.5
1.7716909687891065,29.0,29,,1,481.0,261.0,3.5
4.326918328582414,30.0,30,,1,496.0,327.0,15.5
11.279282877125732,31.0,33,,1,517.5,155.5,21.5
4.058598553961968,32.0,35,,1,572.0,364.5,14.5
2.838231060987771,33.0,36,,1,578.0,153.0,14.0
,34.0,42,,1,1141.5,174.5,28.0
3.8908725099761745,35.0,37,,1,1168.0,176.0,27.0
2.2980970388562794,0.0,0,,2,102.0,482.5,13.0
2.6516504294495533,1.0,1,,2,138.0,302.0,14.5
8.889952193347273,2.0,2,,2,154.0,238.0,16.0
3.972562145517676,3.0,4,,2,198.5,293.5,8.5
2.1286732957408003,4.0,6,,2,225.5,445.0,15.5
0.7288689868556626,5.0,5,,2,228.5,169.5,18.5
1.8791620472966135,6.0,7,,2,246.5,375.5,27.0
4.172079817069659,7.0,8,,2,253.0,437.5,17.0
2.1578345627040085,8.0,9,,2,263.0,160.0,17.0
5.065199897338703,9.0,10,,2,265.0,271.5,13.0
0.6373774391990981,10.0,11,,2,284.0,424.0,16.5
3.9250796170268956,11.0,12,,2,298.0,475.5,14.0
12.177078877957554,12.0,14,,2,320.5,188.5,15.0
0.9519716382329886,13.0,16,,2,331.0,251.5,7.5
0.39528470752104744,14.0,17,,2,334.0,373.0,17.0
2.8993533761858004,15.0,40,,2,370.0,177.0,15.5
7.707545004733998,16.0,21,,2,380.5,395.0,21.5
4.3767853500028995,17.0,20,,2,398.5,177.5,6.5
,18.0,43,,2,402.5,279.5,3.0
0.39528470752104744,19.0,22,,2,422.0,230.5,7.0
1.741048534648015,20.0,23,,2,431.0,387.0,14.0
7.828234155925588,21.0,24,,2,432.5,273.5,3.0
1.1858541225631423,22.0,25,,2,437.5,170.0,6.0
0.8838834764831844,23.0,26,,2,457.5,200.0,15.0
2.2980970388562794,24.0,27,,2,462.0,374.5,7.5
0.5303300858899106,25.0,28,,2,483.0,154.0,14.0
2.1286732957408003,26.0,29,,2,486.0,261.5,3.5
5.69264876836785,27.0,30,,2,495.5,330.5,10.0
2.3251344047172844,28.0,33,,2,524.0,160.0,21.5
0.5303300858899106,29.0,35,,2,577.5,367.5,13.5
,30.0,44,,2,1124.0,175.5,27.5
0.39528470752104744,31.0,42,,2,1147.0,177.0,27.0
,0.0,45,,3,3.0,488.0,27.0
3.205897343611895,1.0,0,,3,104.0,482.0,13.0
2.758824226207804,2.0,1,,3,142.0,304.5,15.0
3.865804501581077,3.0,2,,3,163.0,238.5,18.0
4.859126579037742,4.0,6,,3,226.5,442.5,15.0
1.5365907428821406,5.0,5,,3,232.5,170.5,20.0
,6.0,46,,3,242.0,269.5,13.5
1.509230856356235,7.0,7,,3,251.5,377.0,27.0
3.7006005518624385,8.0,8,,3,254.5,437.0,14.5
0.3333333333333144,9.0,9,,3,268.5,160.0,18.5
2.2236106773544075,10.0,11,,3,287.0,424.5,14.0
,11.0,47,,3,288.0,263.5,27.0
6.00231436845637,12.0,16,,3,336.0,245.5,8.5
0.5270462766947359,13.0,17,,3,339.0,373.5,16.5
,14.0,48,,3,345.0,184.5,14.5
,15.0,49,,3,364.0,403.5,15.0
8.388153021441065,16.0,21,,3,392.0,400.5,27.5
4.859126579037767,17.0,20,,3,399.5,175.0,6.5
3.0595932917809865,18.0,43,,3,405.0,278.0,3.5
1.7159383568311575,19.0,22,,3,428.0,229.0,7.5
2.6034165586355638,20.0,23,,3,434.5,385.0,15.0
3.01846171271247,21.0,24,,3,438.0,270.5,3.0
3.3706247360260955,22.0,25,,3,446.0,169.5,6.5
0.9718253158075338,23.0,26,,3,463.5,199.5,15.0
3.2058973436119094,24.0,27,,3,464.0,374.0,7.5
3.0046260628866683,25.0,29,,3,489.5,259.0,3.0
11.562631380634983,26.0,30,,3,489.5,327.5,6.0
1.9002923751652117,27.0,28,,3,490.0,154.5,16.5
,28.0,50,,3,514.0,331.0,16.5
3.655285366576919,29.0,33,,3,532.5,161.5,22.0
,30.0,51,,3,548.5,314.0,1.5
0.5270462766947179,31.0,35,,3,582.5,367.0,12.5
,32.0,52,,3,1102.5,174.5,27.5
4.1766546953806225,33.0,44,,3,1125.5,173.5,27.0
3.092329219213245,0.0,6,,4,226.5,441.0,14.5
1.346291201783626,1.0,5,,4,236.0,169.5,18.5
3.0516389039334255,2.0,8,,4,255.0,433.0,14.0
7.0400639201643616,3.0,7,,4,256.5,381.5,26.5
2.6575364531836625,4.0,9,,4,273.5,159.5,20.5
3.010398644698074,5.0,11,,4,287.0,422.0,13.5
,6.0,53,,4,319.5,188.0,11.5
,7.0,54,,4,327.5,412.5,16.0
1.8200274723201295,8.0,16,,4,339.5,245.0,9.0
0.25,9.0,49,,4,367.0,401.5,14.0
10.151970252123476,10.0,20,,4,392.5,171.0,11.5
5.129571132170798,11.0,21,,4,398.5,402.0,27.0
2.462214450449026,12.0,43,,4,409.0,273.5,2.0
1.346291201783626,13.0,22,,4,430.5,225.5,8.5
0.25,14.0,23,,4,437.5,382.5,11.5
2.462214450449026,15.0,24,,4,442.0,266.0,2.5
3.816084380618437,16.0,25,,4,447.0,164.0,7.0
2.704163456597992,17.0,27,,4,468.5,369.5,7.0
3.783186487605389,18.0,29,,4,493.0,253.0,3.0
2.3048861143232218,19.0,30,,4,493.0,323.0,3.0
4.25,20.0,28,,4,495.0,156.0,10.0
5.640257086339239,21.0,50,,4,522.5,330.0,15.0
4.7762432936357,22.0,33,,4,536.0,164.0,22.5
2.6100766272276377,23.0,35,,4,588.0,364.0,11.0
,24.0,55,,4,1085.5,176.5,26.5
1.3552618543578654,0.0,6,,5,231.0,469.0,15.0
3.388154635894695,1.0,7,,5,262.5,411.0,27.5
0.8949974347244054,2.0,9,,5,278.0,187.0,21.5
2.6283384989963063,3.0,11,,5,293.0,450.5,16.0
0.5150787536377218,4.0,53,,5,324.0,215.0,12.5
0.9147320339189745,5.0,54,,5,331.0,438.5,16.0
1.7670452681218662,6.0,16,,5,344.0,270.0,7.5
0.9715336077668012,7.0,49,,5,370.5,429.0,13.5
1.5286381827880662,8.0,20,,5,397.5,196.5,11.5
4.517539514526254,9.0,21,,5,404.0,433.0,27.0
2.7737839769925188,10.0,43,,5,412.5,297.5,2.5
0.8329931278350582,11.0,22,,5,435.0,251.5,7.0
2.0910401669006182,12.0,23,,5,439.5,409.5,13.0
1.7157731642091951,13.0,24,,5,446.0,291.0,3.0
3.7149724639845343,14.0,25,,5,451.0,187.0,7.5
3.5778513675337695,15.0,27,,5,471.0,393.0,6.5
2.32554579944281,16.0,30,,5,495.5,348.0,3.5
0.8329931278350582,17.0,29,,5,497.5,279.0,3.5
2.6283384989963063,18.0,28,,5,501.0,184.5,13.0
1.2876968840942729,19.0,50,,5,526.5,358.0,16.0
,20.0,56,,5,551.5,204.0,21.5
0.6388765649999217,21.0,35,,5,591.5,391.0,10.0
,22.0,57,,5,758.0,2.5,27.0
,23.0,58,,5,1055.5,205.0,27.0
,0.0,59,,6,144.5,246.0,15.0
1.4866068747318464,1.0,6,,6,240.0,440.5,16.5
,2.0,60,,6,264.5,433.5,14.5
3.1240998703626444,3.0,9,,6,283.5,161.5,21.5
4.879549159502325,4.0,11,,6,297.5,419.5,13.5
0.509901951359283,5.0,53,,6,332.0,187.0,13.0
2.45153013442623,6.0,54,,6,336.5,410.5,15.0
1.4866068747318673,7.0,16,,6,353.0,241.5,8.0
0.6000000000000227,8.0,49,,6,379.0,401.5,13.5
11.002726934719389,9.0,20,,6,394.5,170.5,17.5
4.50111097397076,10.0,21,,6,412.0,410.0,26.5
4.428317965096883,11.0,43,,6,416.0,270.5,2.5
,12.0,61,,6,418.5,167.5,7.0
